year,Departement,Parti,Score
1995.0,cote-d-or,D,20.96
1995.0,cote-d-or,ED,21.03
1995.0,cote-d-or,EG,15.34
1995.0,cote-d-or,G,23.67
1995.0,cotes-d-armor,Autre,0.25
1995.0,cotes-d-armor,C,20.12
1995.0,cotes-d-armor,D,19.13
1995.0,cotes-d-armor,ED,12.52
1995.0,cotes-d-armor,EG,20.41
1995.0,cotes-d-armor,G,27.58
1995.0,creuse,Autre,0.29
1995.0,creuse,C,10.99
1995.0,creuse,D,34.54
1995.0,creuse,ED,10.5
1995.0,creuse,EG,18.89
1995.0,creuse,G,24.8
1995.0,deux-sevres,Autre,0.33
1995.0,deux-sevres,C,20.61
1995.0,deux-sevres,D,21.81
1995.0,deux-sevres,ED,16.44
1995.0,deux-sevres,EG,15.28
1995.0,deux-sevres,G,25.53
1995.0,dordogne,Autre,0.3
1995.0,dordogne,C,13.88
1995.0,dordogne,D,25.42
1995.0,dordogne,ED,13.85
1995.0,dordogne,EG,21.5
1995.0,dordogne,G,25.05
1995.0,doubs,Autre,0.26
1995.0,doubs,C,18.4
1995.0,doubs,D,20.72
1995.0,doubs,ED,20.1
1995.0,doubs,EG,15.73
1995.0,doubs,G,24.79
1995.0,drome,Autre,0.31
1995.0,drome,C,18.72
1995.0,drome,D,16.96
1995.0,drome,ED,22.85
1995.0,drome,EG,17.75
1995.0,drome,G,23.4
1995.0,essonne,Autre,0.23
1995.0,essonne,C,15.55
1995.0,essonne,D,22.79
1995.0,essonne,ED,18.28
1995.0,essonne,EG,19.01
1995.0,essonne,G,24.13
1995.0,eure,Autre,0.31
1995.0,eure,C,18.68
1995.0,eure,D,19.48
1995.0,eure,ED,23.6
1995.0,eure,EG,17.24
1995.0,eure,G,20.69
1995.0,eure-et-loir,Autre,0.24
1995.0,eure-et-loir,C,20.36
1995.0,eure-et-loir,D,18.82
1995.0,eure-et-loir,ED,24.4
1995.0,eure-et-loir,EG,14.8
1995.0,eure-et-loir,G,21.37
1995.0,finistere,Autre,0.24
1995.0,finistere,C,21.06
1995.0,finistere,D,21.78
1995.0,finistere,ED,13.05
1995.0,finistere,EG,17.74
1995.0,finistere,G,26.14
1995.0,francais-de-l-etranger,Autre,0.44
1995.0,francais-de-l-etranger,C,23.97
1995.0,francais-de-l-etranger,D,33.48
1995.0,francais-de-l-etranger,ED,7.37
1995.0,francais-de-l-etranger,EG,8.29
1995.0,francais-de-l-etranger,G,26.46
1995.0,gard,Autre,0.24
1995.0,gard,C,16.34
1995.0,gard,D,16.16
1995.0,gard,ED,24.76
1995.0,gard,EG,20.97
1995.0,gard,G,21.54
1995.0,gers,Autre,0.36
1995.0,gers,C,17.63
1995.0,gers,D,21.24
1995.0,gers,ED,14.94
1995.0,gers,EG,16.32
1995.0,gers,G,29.5
1995.0,gironde,Autre,0.27
1995.0,gironde,C,17.72
1995.0,gironde,D,19.5
1995.0,gironde,ED,17.39
1995.0,gironde,EG,17.43
1995.0,gironde,G,27.7
1995.0,guadeloupe,Autre,0.95
1995.0,guadeloupe,C,14.55
1995.0,guadeloupe,D,38.24
1995.0,guadeloupe,ED,3.97
1995.0,guadeloupe,EG,7.17
1995.0,guadeloupe,G,35.13
1995.0,guyane,Autre,0.9
1995.0,guyane,C,16.88
1995.0,guyane,D,39.84
1995.0,guyane,ED,9.95
1995.0,guyane,EG,8.29
1995.0,guyane,G,24.15
1995.0,haut-rhin,Autre,0.32
1995.0,haut-rhin,C,24.24
1995.0,haut-rhin,D,16.72
1995.0,haut-rhin,ED,29.17
1995.0,haut-rhin,EG,12.46
1995.0,haut-rhin,G,17.09
1995.0,haute-corse,Autre,0.26
1995.0,haute-corse,C,18.09
1995.0,haute-corse,D,31.41
1995.0,haute-corse,ED,12.04
1995.0,haute-corse,EG,15.66
1995.0,haute-corse,G,22.55
1995.0,haute-garonne,Autre,0.27
1995.0,haute-garonne,C,16.02
1995.0,haute-garonne,D,18.29
1995.0,haute-garonne,ED,16.09
1995.0,haute-garonne,EG,17.48
1995.0,haute-garonne,G,31.87
1995.0,haute-loire,Autre,0.33
1995.0,haute-loire,C,19.78
1995.0,haute-loire,D,22.93
1995.0,haute-loire,ED,21.22
1995.0,haute-loire,EG,15.46
1995.0,haute-loire,G,20.29
1995.0,haute-marne,Autre,0.35
1995.0,haute-marne,C,17.89
1995.0,haute-marne,D,19.64
1995.0,haute-marne,ED,25.33
1995.0,haute-marne,EG,15.76
1995.0,haute-marne,G,21.04
1995.0,haute-saone,Autre,0.28
1995.0,haute-saone,C,18.1
1995.0,haute-saone,D,19.66
1995.0,haute-saone,ED,21.66
1995.0,haute-saone,EG,15.35
1995.0,haute-saone,G,24.95
1995.0,haute-savoie,Autre,0.29
1995.0,haute-savoie,C,24.74
1995.0,haute-savoie,D,20.04
1995.0,haute-savoie,ED,21.82
1995.0,haute-savoie,EG,14.58
1995.0,haute-savoie,G,18.53
1995.0,haute-vienne,Autre,0.26
1995.0,haute-vienne,C,10.72
1995.0,haute-vienne,D,28.8
1995.0,haute-vienne,ED,10.93
1995.0,haute-vienne,EG,21.88
1995.0,haute-vienne,G,27.41
1995.0,hautes-alpes,Autre,0.34
1995.0,hautes-alpes,C,20.47
1995.0,hautes-alpes,D,20.28
1995.0,hautes-alpes,ED,18.22
1995.0,hautes-alpes,EG,18.75
1995.0,hautes-alpes,G,21.95
1995.0,hautes-pyrenees,Autre,0.3
1995.0,hautes-pyrenees,C,17.6
1995.0,hautes-pyrenees,D,20.02
1995.0,hautes-pyrenees,ED,13.16
1995.0,hautes-pyrenees,EG,20.59
1995.0,hautes-pyrenees,G,28.34
